dataset,energy,energy_sl,energy_sh,field,field_sl,field_sh,yield,yield_sl,yield_sh,l_eff,l_eff_sl,l_eff_sh,converted,excluded
SCENE 2013,15.2,0,0,100,0,0,10.905,0.636,0.636,0.949,0.020,0.020,0,0
SCENE 2013,15.2,0,0,50,0,0,10.868,0.643,0.643,0.946,0.022,0.022,0,0
SCENE 2013,20.8,0,0,1000,0,0,9.172,0.362,0.362,0.742,0.005,0.005,0,0
SCENE 2013,20.8,0,0,300,0,0,10.386,0.409,0.409,0.841,0.005,0.005,0,0
SCENE 2013,20.8,0,0,200,0,0,11.009,0.437,0.437,0.891,0.007,0.007,0,0
SCENE 2013,20.8,0,0,100,0,0,11.642,0.461,0.461,0.942,0.007,0.007,0,0
SCENE 2013,20.8,0,0,50,0,0,11.44,0.481,0.481,0.979,0.008,0.008,0,0
SCENE 2013,20.8,0,0,20,0,0,11.728,0.493,0.493,1.004,0.008,0.008,0,0
SCENE 2013,29,0,0,1000,0,0,9.83,0.42,0.42,0.775,0.020,0.020,0,0
SCENE 2013,29,0,0,300,0,0,11.346,0.525,0.525,0.894,0.028,0.028,0,0
SCENE 2013,29,0,0,100,0,0,12.714,0.585,0.585,1.002,0.031,0.031,0,0
SCENE 2013,29,0,0,50,0,0,13.005,0.538,0.538,1.025,0.024,0.024,0,0
SCENE 2013,49.9,0,0,1000,0,0,12.064,0.511,0.511,0.862,0.025,0.025,0,0
SCENE 2013,49.9,0,0,300,0,0,13.095,0.563,0.563,0.936,0.028,0.028,0,0
SCENE 2013,49.9,0,0,100,0,0,13.786,0.589,0.589,0.985,0.029,0.029,0,0
